[30.00 → 31.26]  ¿Ya pusiste a grabar?
[257.34 → 261.18]  Tenemos unos pendientes, pero eso sí estamos al tanto del concepto de bienestar.
[261.38 → 262.44]  Pero no viene de bienestar, ¿no?
[262.90 → 265.92]  No, el único que tiene concepto de bienestar es el de Julio Fabián,
[266.14 → 270.26]  que ya ese si no llegó el semestre pasado y la cancelación de Octavio.
[271.78 → 275.40]  Ah bueno, y las cancelaciones de periodo académico de Daniel, de Diego Zapati, de María Catalina,
[275.40 → 279.40]  creo que una de ellas también tiene el concepto de bienestar ya correctamente.
[280.92 → 284.68]  Entonces sí, no sé si tengan alguna inquietud sobre los demás casos de la agenda,
[286.00 → 289.94]  si la pudieron revisar, sino pues yo creo que como en su mayoría son de trámite
[289.94 → 292.42]  y van de acuerdo con la norma, pues la daría paso entonces a Paula
[292.42 → 295.40]  para que tengamos tiempo de discutir la programación académica.
[296.36 → 296.86]  ¿Tenéis acuerdo?
[298.48 → 298.78]  Sí.
[299.88 → 303.16]  Una pregunta, una de esas homologaciones es la que me enviaron?
[304.64 → 306.70]  Hay una que es la de Paulina,
[308.22 → 310.46]  pero entonces no ha llegado, creo que el concepto no ha llegado,
[310.66 → 312.46]  pero tampoco no se ha llegado el del profe Pablo,
[313.40 → 316.60]  ni tampoco no se ha llegado el del profe...
[316.60 → 318.70]  No lo ha dicho, no lo ha dicho.
[319.28 → 323.22]  Y el del profe John Selig, que es el de globalización.
[323.50 → 326.30]  Entonces por eso les digo que ese caso de Paulina seguramente nos va a tocar estudiarlo
[326.30 → 328.44]  hasta que llegue a la totalidad de los conceptos.
[328.76 → 330.42]  Disculpa, ahí también tengo otra pregunta,
[330.42 → 334.24]  no sé si en el caso de una representante
[334.74 → 336.90]  tiene posibilidad de hacer un recurso de apelación
[336.90 → 339.42]  o reposición respecto a una decisión.
[340.36 → 342.64]  ¿Pero sobre un caso tuyo o de otro compañero?
[342.64 → 345.86]  No, de una compañera que la última decisión de diciembre
[345.86 → 348.34]  pues yo no te había comentado el caso de Emilia
[349.56 → 352.68]  y pues como que ya la cuestión se había desarrollado
[353.16 → 355.24]  y pues no sé si se puede hacer ese recurso.
[355.40 → 356.64]  ¿Y qué caso es?
[356.64 → 358.38]  ¿Qué caso es?
[358.38 → 359.28]  Es el de la...
[359.28 → 360.38]  ...descripciones temporáneas.
[362.86 → 364.24]  ¿Y qué pasó con ella?
[364.60 → 368.64]  Solamente le atorgamos las descripciones temporáneas
[369.22 → 370.66]  de una de las asignaturas
[370.66 → 373.18]  porque todavía quedaban, digamos, cupos.
[373.34 → 375.86]  Sobre las otras dos ya se le había negado
[375.86 → 378.36]  por el aplicativo y de oficio
[378.36 → 381.70]  porque no había cupo en la materia
[381.70 → 384.16]  para darle de sobre cupo, entonces por eso se le negó en dos
[384.16 → 386.26]  y se la aprobó en una.
[387.38 → 389.84]  Pero pues el recurso lo tiene que explicar con el estudiante.
[389.92 → 391.34]  Claro, eso es personal.
[392.46 → 395.04]  ¿Listo? Entonces creo que abro.
[395.48 → 397.16]  Entonces lo de...
[397.88 → 398.98]  Sí, sí, me ayudas con eso.
[399.18 → 402.00]  Voy comentando el tema de los cupos.
[402.54 → 403.68]  Pero espérame un segundito,
[403.84 → 405.88]  es que yo me tengo que retirar a otra reunión.
[406.36 → 408.12]  Ustedes habían solicitado la ampliación
[408.12 → 410.42]  de lo de la comunicatoria para...
[410.42 → 411.72]  Sí, creo que ya...
[411.72 → 413.80]  Ya se ha quedado, ya se ha quedado.
[414.00 → 415.16]  Ah, por eso no se hace el...
[415.72 → 418.32]  Sí, simplemente confirma que ya...
[418.32 → 419.82]  que ya se ha quedado.
[420.92 → 421.92]  Un segundo.
[424.70 → 427.72]  La sede ha solicitado que le confirmemos
[428.32 → 429.88]  cuántos cupos se van a abrir
[429.88 → 431.72]  para el 2025-2.
[432.86 → 434.72]  Correspondientes acaba el programa de pregrado
[436.00 → 437.72]  pues que se pretende hacer.
[439.08 → 440.96]  Nosotros desde antes
[440.96 → 442.20]  que se había solicitado
[442.20 → 443.22]  o se había requerido
[443.22 → 445.64]  la verificación de ello
[445.64 → 447.92]  y se está proponiendo
[447.92 → 449.30]  que para el programa curricular
[449.30 → 450.44]  de ciencia política
[450.44 → 453.94]  se reciban 70 cupos por admisión regular,
[454.80 → 456.36]  5 cupos de cambio de carrera
[456.36 → 457.70]  y 2 cupos de cambio de sede.
[457.86 → 459.40]  Esto se mantiene igual
[459.40 → 460.78]  a cómo se había proyectado
[460.78 → 464.48]  para el semestre 2025-1,
[464.58 → 466.12]  porque ya fueron avalados.
[466.20 → 467.18]  Esto teniendo en cuenta
[467.18 → 469.18]  la capacidad de los salones,
[470.74 → 472.76]  los grupos que tenemos actualmente
[472.76 → 474.26]  hay actos en cada materia
[474.26 → 476.08]  y también con los profesores
[476.08 → 477.22]  que se están informando
[477.22 → 478.92]  para cada asignatura.
[479.50 → 481.50]  Entonces, pues el comité está de acuerdo.
[481.90 → 483.50]  Manteneríamos los mismos cupos
[484.16 → 485.34]  que se van a tuvieron
[485.34 → 486.86]  para el 2025-1
[486.86 → 489.04]  para poder abrir la admisión
[489.04 → 491.18]  para el segundo semestre de este año.
[491.22 → 493.18]  ¿Me recuerdan los números?
[493.34 → 495.40]  Son 70 cupos para admisión regular,
[495.40 → 497.48]  5 cupos para cambio de carrera
[497.48 → 499.40]  y 2 cupos para cambio de sede.
[508.96 → 510.82]  En este periodo,
[511.54 → 514.64]  aproximadamente, ¿cuántas solicitudes
[514.64 → 515.10]  para cambio de carrera?
[515.10 → 516.26]  Para cambio de carrera.
[516.34 → 518.60]  De traslado, las que vieron en la agenda.
[519.44 → 522.00]  Pero no para el Consejo de Educación,
[522.00 → 523.66]  sino en este semestre en general.
[524.50 → 525.18]  Aproximadamente, ¿cuántas?
[525.18 → 526.02]  Es igual.
[526.98 → 529.38]  La agenda se maneja a la misma fecha.
[529.52 → 530.62]  O sea, no podemos recibir
[530.62 → 531.98]  como en todo el semestre,
[532.16 → 533.18]  sino para una fecha.
[533.82 → 536.96]  Las que se ven ahorita son los cambios
[536.96 → 537.92]  que se solicitan.
[544.78 → 550.04]  Bueno, les comento.
[550.04 → 552.88]  El semestre del año pasado
[552.88 → 554.50]  se abrió la convocatoria
[554.50 → 555.76]  para recibir propuestas
[555.76 → 557.44]  de materias de libre elección.
[558.14 → 562.36]  Esta convocatoria está hasta el 27 de diciembre
[562.36 → 566.22]  y este proceso lo hacemos
[567.60 → 568.24]  anualmente
[568.24 → 570.30]  por decisión de este mismo comité
[570.30 → 571.98]  para escoger las materias
[571.98 → 574.28]  de libre elección que se van a dar
[574.28 → 575.52]  en el año.
[575.74 → 578.04]  Entonces, estas materias que vamos a revisar
[578.04 → 581.26]  digamos que serían las materias
[581.26 → 583.38]  que estarían para lo correspondiente
[583.38 → 585.48]  al 20-25, tanto el primer semestre
[585.48 → 586.86]  como el segundo semestre.
[588.12 → 589.34]  Ya hemos hecho la consulta
[589.34 → 591.30]  con los profesores de planta
[591.30 → 592.80]  y actualmente tenemos
[592.80 → 594.04]  las materias
[595.20 → 597.36]  que se ofertan
[597.36 → 598.50]  de profes.
[599.16 → 601.02]  De planta tenemos la materia
[601.02 → 603.54]  del profe Miguel Ángel Herrera
[603.54 → 605.80]  como curso electivo,
[606.00 → 606.64]  la electiva
[606.64 → 608.24]  como curso de contexto,
[608.38 → 609.86]  la electiva Gramsci.
[610.40 → 612.80]  Tenemos la materia de dance school
[612.80 → 614.90]  de la profesora Silvia Mantilla
[614.90 → 616.64]  que también se mantendría.
[617.02 → 618.50]  El profesor Mague Mati Huelve
[618.50 → 620.98]  y él tiene su electiva de África y Asia.
[622.22 → 623.10]  El profe Fabiana Costa
[623.10 → 624.26]  tiene su electiva
[624.26 → 626.20]  de movimientos estudiantiles.
[626.36 → 628.36]  El profesor Marco Romero tiene
[628.36 → 631.02]  su electiva de perspectiva
[631.02 → 631.98]  de paz territorial.
[633.36 → 634.64]  Y creo que esas serían como
[634.64 → 636.04]  el profesor Gustavo Puyo
[636.04 → 638.56]  tiene su electiva de mafias y política.
[639.34 → 640.90]  Esas electivas las
[640.90 → 642.52]  mantendríamos a no ser de que
[642.52 → 644.54]  los profesores de aquí
[644.54 → 647.08]  a la validación
[647.08 → 648.60]  de la programación no la confirmen
[648.60 → 650.92]  pero hasta el momento no hemos recibido
[650.92 → 652.28]  ninguna respuesta de ellos
[652.28 → 654.64]  de que no estén interesados en dictarles.
[655.80 → 656.84]  Entonces esto
[656.84 → 658.50]  nos da paso a poder revisar
[658.50 → 660.26]  las materias de libre elección
[660.26 → 662.64]  que ya serían para profesores ocasionales
[662.81 → 664.83]  que serían las propuestas
[664.83 → 666.33]  que estaríamos revisando acá.
[666.39 → 669.05]  Yo creo que hoy no las alcanzamos a revisar todas
[669.05 → 670.09]  pero
[670.81 → 672.59]  pues podríamos mirar
[672.59 → 673.81]  dos o tres áreas.
[674.43 → 676.45]  Las presento ahorita porque si o si
[676.45 → 678.65]  tenemos que verificar estas materias tanto
[678.65 → 680.81]  hoy como el próximo comité
[681.63 → 682.33]  porque
[682.33 → 684.45]  si necesitamos crear códigos
[684.45 → 686.13]  tenemos plazo hasta el 7 de febrero
[686.13 → 687.81]  entonces digamos que estamos muy apenas
[687.81 → 690.73]  para poder tener como la programación
[690.73 → 692.67]  como tal. Si les parece entonces
[692.67 → 695.07]  revisamos y empezamos por el área
[695.07 → 696.79]  de administración y políticas
[696.79 → 698.19]  públicas
[698.73 → 700.59]  que actualmente de profesores de planta
[700.59 → 702.51]  no tenemos propuestas.
[702.95 → 705.15]  Para esta tenemos
[709.25 → 710.65]  ocho propuestas
[710.65 → 712.75]  de las cuales ya que no contamos con
[712.75 → 714.65]  propuestas de profesores de planta
[714.65 → 716.43]  podríamos escoger tres.
[717.57 → 719.19]  Siempre escogemos tres
[719.19 → 720.97]  de cada
[720.97 → 721.45]  área.
[723.37 → 725.19]  Entonces tenemos la propuesta de
[727.93 → 729.19]  Camila Andrea Giraldo
[730.87 → 732.75]  es una profesora nueva
[732.75 → 734.99]  introduccional identificación y preparación
[734.99 → 736.37]  de proyectos de desarrollo.
[737.35 → 739.89]  Tenemos la propuesta de Davilio Largo Angulo
[739.89 → 741.21]  analisis de políticas
[741.21 → 743.21]  públicas y socias económicas.
[743.55 → 745.27]  Tenemos la propuesta de Julio César
[745.27 → 748.03]  Andrade López, finanzas para no financieros.
[748.03 → 750.63]  Tenemos la propuesta de Juan Pablo Camacho
[750.63 → 752.17]  Selly, acción política
[752.17 → 754.49]  y organización colectiva.
[755.21 → 756.15]  Tenemos la propuesta
[756.15 → 758.23]  de Natalia Gaona Cifuentes
[758.23 → 760.11]  y Juan Camilo Vargas. Ellos
[760.11 → 762.43]  actualmente tienen una materia con nosotros
[762.43 → 764.29]  ofertando pero están proponiendo otra
[764.29 → 766.03]  prácticas estratégicas y herramientas
[767.25 → 768.37]  de gestión
[768.37 → 769.83]  de políticas públicas.
[769.97 → 771.51]  Mario de David Arroyo
[773.37 → 774.73]  planificación gubernamental
[774.73 → 776.31]  herramientas para la identificación
[776.31 → 778.39]  de variables clave en proyectos de políticas
[778.39 → 780.31]  públicas. Juan Camilo Lozano
[780.31 → 782.53]  que también es profesor de nosotros, asociación
[782.53 → 784.81]  territorial y participación ciudadana.
[784.97 → 786.43]  Reflexiones sobre la cooperación
[786.43 → 787.77]  en tiempos de individualismo.
[788.77 → 790.43]  Brian Esteban Belandia
[790.43 → 792.51]  curso introductorio sobre el cannabis
[792.51 → 794.27]  discusiones de políticas, aspectos
[794.27 → 796.31]  regulatorios y técnicos.
[796.51 → 798.73]  Y por último, Alexander Hernández
[798.73 → 800.41]  Bogotá democracia y políticas
[800.41 → 802.27]  públicas. Alexander también en este
[802.27 → 804.09]  momento está dando esta materia
[804.09 → 806.25]  de Bogotá y esa materia
[806.25 → 807.75]  estaba siendo ofertada
[807.75 → 809.53]  este semestre y el semestre anterior.
[809.75 → 811.97]  O sea que está, digamos que no es nuevo
[811.97 → 813.91]  para tenerlo claro.
[814.65 → 816.31]  Entonces, no sé si les parece
[816.31 → 817.99]  que revisemos
[817.99 → 819.59]  las propuestas como tal.
[819.89 → 820.99]  Las abrimos una a una.
[834.75 → 837.03]  Bien, entonces esta es
[837.03 → 838.63]  la introducción sobre la identificación
[838.63 → 840.09]  y preparación de proyectos de desarrollo.
[849.81 → 852.79]  Ella es abogada de la Universidad Nacional
[852.79 → 854.33]  tiene un magister en derecho de
[854.33 → 855.99]  profundización en derecho financiero
[855.99 → 858.07]  y especialización en derechos humanos.
[858.57 → 859.85]  Es egresada nuestra
[861.33 → 862.41]  y tiene
[862.41 → 864.41]  una mosqueda
[867.25 → 869.21]  trayectoria en laboral
[869.21 → 870.81]  y tiene experiencia
[870.81 → 872.41]  docente, como docente ocasional
[873.11 → 874.41]  en la Universidad Nacional
[874.93 → 876.61]  con nosotros en la facultad
[876.61 → 878.09]  pero no en ciencia política.
[878.63 → 880.69]  Las asignaturas que ha dictado
[880.69 → 882.95]  clínica jurídica, transformaciones
[882.95 → 884.69]  de derecho en contexto de legalización
[884.69 → 886.67]  y ha colaborado entonces con esta
[886.67 → 888.95]  de lucha por la educación superior
[888.95 → 890.55]  que es la materia que se ofertó
[890.55 → 893.79]  desde la sede, desde el paro pasado.
[895.11 → 896.31]  Seguramente tuvo
[897.63 → 899.11]  algún módulo allí.
[900.43 → 902.77]  La propuesta que ella pone
[902.77 → 904.55]  bueno, inscripción de la asignatura
[905.23 → 906.69]  es en un contexto donde
[906.69 → 908.87]  se evidencia que los sectores sociales
[908.87 → 911.05]  participan de forma activa en la agenda pública
[911.05 → 912.33]  y en los diferentes escenarios
[912.33 → 913.95]  para la exigibilidad de sus derechos.
[914.01 → 916.27]  Los proyectos de desarrollo se han configurado
[916.27 → 918.19]  como una herramienta por medio de la cual
[918.19 → 920.23]  se garantiza tanto la participación
[920.23 → 922.19]  de estos sectores como su fortalecimiento.
[922.91 → 924.61]  A través de los proyectos de desarrollo
[924.61 → 926.01]  diferentes sectores sociales
[926.01 → 928.17]  e instituciones estatales realizan un conjunto
[928.17 → 930.29]  de actividades en torno a la resolución de problemas
[930.29 → 932.25]  o a la satisfacción de necesidades
[932.25 → 934.31]  sociales dentro de un entorno
[934.95 → 936.05]  específico. Entendiendo
[936.05 → 938.21]  los proyectos de desarrollo tanto como una herramienta
[938.21 → 940.29]  de participación como un mecanismo por medio
[940.29 → 942.15]  del cual el Estado, sus instituciones
[942.15 → 944.03]  y las mecanizaciones de sociedad civil
[944.03 → 946.19]  y la cooperación internacional dan
[946.19 → 948.45]  un cumplimiento
[952.41 → 954.65]  a alguna de las funciones o finalidades
[954.65 → 956.21]  si hace necesario hondar la tapa
[956.21 → 958.47]  temprana de su diseño, es decir
[958.47 → 960.09]  en la identificación y preparación
[960.09 → 962.37]  considerándose como una etapa fundamental
[962.37 → 964.47]  dentro de las cuales va a entrar
[964.47 → 966.03]  a depender de su ejecución y
[966.03 → 968.25]  de su construcción de evaluación.
[969.45 → 970.09]  Propone
[970.09 → 972.57]  como contenidos tener una unidad
[972.57 → 974.19]  de ciclo de proyectos
[975.37 → 976.57]  que tiene que ver
[976.57 → 978.23]  más que todo con temas de planeación
[978.23 → 979.59]  de proyectos de desarrollo
[980.55 → 982.19]  y con módulos sobre
[983.27 → 984.39]  diseño, análisis,
[985.09 → 986.55]  viabilidad y programación,
[986.73 → 988.19]  formulación y financiación.
[989.69 → 992.01]  La segunda unidad es un tema de identificación
[992.01 → 994.59]  de proyectos con herramientas, metodologías
[994.59 → 995.97]  para análisis de problemas y
[995.97 → 998.31]  búsqueda de soluciones
[998.31 → 1000.17]  y un diagnóstico sobre
[1000.17 → 1001.89]  situación actual seguramente
[1001.89 → 1004.33]  que pretenderá como desarrollar
[1004.33 → 1006.11]  un proyecto especial
[1006.11 → 1008.33]  una unidad que tenga una preparación
[1008.33 → 1010.49]  de proyectos como aspectos técnicos
[1010.49 → 1011.89]  de proyecto
[1013.89 → 1015.97]  tipos de objetivos y herramientas para la
[1015.97 → 1018.17]  construcción de indicadores, análisis
[1018.17 → 1019.93]  de riesgos y un tema
[1019.93 → 1021.85]  también de cooperación internacional.
[1022.59 → 1024.23]  La bibliografía básica de ellas
[1024.23 → 1024.93]  está
[1030.09 → 1032.93]  y como tal está la propuesta.
[1040.35 → 1041.71]  La evaluación
[1044.89 → 1046.89]  tiene una entrega de una propuesta
[1046.89 → 1048.79]  de proyecto de desarrollo
[1050.51 → 1052.83]  dos entregas, seguramente será
[1052.83 → 1054.39]  un trabajo en grupo
[1056.83 → 1058.63]  y una asociación final de las
[1058.63 → 1060.83]  propuestas que se presenten.
[1062.05 → 1062.67]  Esa es la propuesta,
[1062.69 → 1064.55]  es la primera propuesta que
[1064.55 → 1067.11]  podemos revisar.
[1067.43 → 1068.57]  Como les comento, pues ha sido
[1068.57 → 1070.45]  profesora ocasional pero no
[1070.45 → 1072.67]  de ciencia colectiva.
[1073.23 → 1074.65]  ¿De dónde ha sido profesora?
[1075.27 → 1076.89]  De Derecho Proje
[1076.89 → 1078.75]  pero ha dictado
[1078.75 → 1080.03]  temas de Derecho.
[1080.03 → 1081.71]  Lo más cercano ha sido
[1081.71 → 1083.47]  seguramente un módulo en la clase
[1083.47 → 1085.85]  de la lucha por la educación, la que
[1085.85 → 1088.23]  estaba participando
[1088.23 → 1089.57]  en el proyecto de Andrés Pérez
[1090.21 → 1090.81]  Carolina.
[1094.63 → 1095.83]  Es abogado.
[1097.61 → 1099.51]  La siguiente propuesta es la de David
[1099.51 → 1100.61]  Leonardo Gulo.
[1109.15 → 1111.41]  El profesor ya estaba?
[1112.45 → 1113.89]  ¿La profesora?
[1114.45 → 1116.01]  Ella nunca ha dictado con nosotros
[1116.01 → 1116.81]  en cierto proyecto.
[1119.89 → 1121.31]  David Leonardo es
[1121.31 → 1122.49]  politólogo de acá,
[1122.79 → 1124.25]  tiene la especialización
[1124.25 → 1125.79]  de políticas públicas de acá
[1125.79 → 1127.97]  y la maestría en ciencias
[1127.97 → 1129.53]  económicas también de acá.
[1137.97 → 1139.33]  Tiene experiencia
[1139.33 → 1141.29]  en el departamento nacional
[1141.29 → 1142.79]  de planeación,
[1143.73 → 1144.93]  en la alta consejería para las
[1144.93 → 1147.01]  bandas de víctimas y ahora revisamos
[1147.01 → 1148.63]  si tiene.
[1155.51 → 1157.39]  Fue docente ocasional nuestro
[1157.39 → 1159.21]  en la materia de análisis de políticas
[1159.21 → 1160.57]  públicas y ciencias económicas.
[1160.57 → 1162.93]  En el 2018
[1162.93 → 1164.67]  y 2019
[1164.67 → 1166.57]  también una lectiva
[1167.17 → 1168.57]  y fue
[1169.17 → 1169.97]  estudiante auxiliar.
[1176.21 → 1177.13]  Una,
[1178.95 → 1181.03]  dos, tres publicaciones con nosotros
[1181.03 → 1182.09]  también.
[1184.01 → 1185.41]  La propuesta que él
[1185.41 → 1186.65]  presenta
[1186.65 → 1188.99]  es análisis de políticas públicas y ciencias
[1188.99 → 1190.93]  económicas, esta es la materia que él había
[1190.93 → 1192.99]  ofertado en el 2018 y 2019.
[1195.37 → 1196.59]  ¿Ya lo ha dictado?
[1196.73 → 1198.17]  Sí, ya lo ha dictado.
[1198.71 → 1201.09]  El objetivo general, proporcionar
[1201.09 → 1202.89]  elementos conceptuales, teóricos y
[1202.89 → 1204.91]  metodológicos que permiten entender la
[1204.91 → 1207.31]  economía y su relación analítica y práctica
[1207.31 → 1209.07]  con el ciclo de políticas
[1209.07 → 1211.07]  públicas en Colombia y
[1211.75 → 1212.91]  específicos, aportar
[1212.91 → 1214.99]  elementos para la comprensión de las diferencias
[1215.53 → 1216.83]  entre la economía pública,
[1216.83 → 1219.47]  la economía política y la política
[1219.47 → 1221.11]  económica que permiten
[1221.11 → 1222.89]  identificar procesos de transformación
[1222.89 → 1225.11]  de intervención estatal, generar
[1225.11 → 1226.99]  el acercamiento a los problemas de tomar de
[1226.99 → 1229.05]  decisiones macroeconómicos y procesos de
[1229.05 → 1230.99]  desarrollo económico e introduccionar
[1230.99 → 1232.91]  un debate sobre la soberanía y
[1232.91 → 1235.03]  la intervención estatal en función de la economía
[1235.03 → 1237.27]  como procesos que permiten evidenciar
[1237.27 → 1239.09]  la posición de Colombia en el
[1239.09 → 1240.25]  contexto internacional.
[1242.49 → 1244.89]  Sobreva la evaluación, tiene 50%
[1244.89 → 1246.91]  de trabajo final y 50%
[1246.91 → 1248.13]  otras actividades
[1249.83 → 1250.59]  y
[1250.59 → 1252.43]  las temáticas
[1252.43 → 1254.93]  son teorías y modelos
[1254.93 → 1256.77]  económicos, conceptos, categorías
[1256.77 → 1258.87]  básicas, problemas
[1258.87 → 1260.99]  de planeación y formulación de
[1260.99 → 1262.35]  modelos económicos,
[1262.89 → 1264.71]  donde se revisa modelo de desarrollo,
[1264.89 → 1266.87]  planeación y crecimiento económico, política
[1266.87 → 1268.39]  fiscal, moneda y social,
[1269.23 → 1270.73]  análisis de la formulación de políticas
[1270.73 → 1272.75]  públicas en Colombia, posicionamiento
[1272.75 → 1275.05]  de agendas y repartición de gasto
[1275.05 → 1275.49]  público.
[1276.97 → 1279.07]  Una tercera parte que tiene que ver con
[1279.07 → 1280.81]  el dilema de implementación de elementos
[1281.77 → 1282.45]  presupuestales,
[1282.83 → 1284.95]  reto más gasto público, deuda e inversión
[1284.95 → 1287.05]  de modelos económicos, análisis
[1287.05 → 1288.93]  de implementación de políticas públicas,
[1289.19 → 1290.61]  acercamiento de metodologías
[1291.81 → 1293.49]  y una cuarta parte
[1293.49 → 1294.51]  de evaluación de impacto
[1294.51 → 1296.91]  como la mitad de predicciones de políticas
[1296.91 → 1299.01]  públicas, evaluación de políticas
[1299.01 → 1300.93]  públicas, evaluación
[1300.93 → 1303.05]  de impacto, metodologías y alcance,
[1303.35 → 1304.81]  evaluación de procesos de seguimiento
[1304.81 → 1307.33]  y monitoreo, análisis de la evaluación
[1307.33 → 1309.09]  de políticas públicas en Colombia
[1311.19 → 1313.17]  y tiene un aspecto
[1313.17 → 1315.09]  de políticas públicas, aspectos
[1315.09 → 1316.85]  y análisis de la interacción sobre ciencia
[1316.85 → 1318.93]  política, económica y otras áreas de conocimiento.
[1320.07 → 1321.47]  Esta como una parte
[1321.47 → 1323.09]  final que sería como una parte
[1323.09 → 1324.93]  de conclusión de la propuesta.
[1327.29 → 1329.09]  Y es como si se alcancen a ver
[1331.27 → 1332.93]  estas bibliografías complementarias,
[1333.67 → 1334.93]  la bibliografía
[1337.03 → 1338.79]  digamos que
[1338.79 → 1341.11]  la principal es la que
[1341.11 → 1342.95]  es relacionada con cada uno
[1342.95 → 1343.79]  de los temas.
[1345.25 → 1347.17]  Esta maquillada como hace una parte
[1347.17 → 1347.83]  económica, ¿no?
[1353.45 → 1354.91]  El siguiente
[1354.91 → 1356.19]  es Julio César Andrade,
[1356.87 → 1358.77]  bien finances para los financieros.
[1373.81 → 1376.01]  Julio César es administrador financiero
[1376.01 → 1377.05]  de la HURColombiana,
[1377.35 → 1378.85]  especialista en dirección financiera
[1378.85 → 1380.33]  y desarrollo organizacional
[1380.33 → 1381.65]  de la Universidad Central.
[1382.11 → 1383.65]  Tiene el magisterio en administración
[1383.65 → 1385.35]  de empresas de la Universidad Social
[1385.35 → 1386.95]  HURColombiana también.
[1388.81 → 1389.73]  Ha trabajado
[1389.73 → 1390.91]  como docente de tiempo con
[1390.91 → 1392.91]  la HURColombiana
[1393.43 → 1395.39]  y antes también era docente
[1395.39 → 1396.99]  catedrático. Siempre ha estado
[1396.99 → 1398.91]  en la Facultad de Economía y Administración.
[1400.49 → 1400.91]  No ha tenido
[1401.61 → 1403.35]  experiencia con nosotros
[1403.35 → 1404.95]  aquí en la nacional, o sea
[1404.95 → 1406.79]  hace tiempo que se volvió.
[1411.39 → 1412.89]  Los objetivos de la materia
